"Date" "ClosingPrice"
"02.01.06" 129.05
"03.01.06" 130.2
"04.01.06" 133.35
"05.01.06" 133.8
"06.01.06" 135.59
"09.01.06" 134.9
"10.01.06" 132.54
"11.01.06" 133.48
"12.01.06" 132.6
"13.01.06" 129.67
"16.01.06" 130.55
"17.01.06" 128.75
"18.01.06" 125.54
"19.01.06" 127.17
"20.01.06" 125.3
"23.01.06" 125.58
"24.01.06" 124.1
"25.01.06" 127.33
"26.01.06" 130.42
"27.01.06" 132.75
"30.01.06" 132.8
"31.01.06" 132.65
"01.02.06" 131.05
"02.02.06" 128.3
"03.02.06" 129.18
"06.02.06" 130.2
"07.02.06" 130.89
"08.02.06" 130.86
"09.02.06" 132.38
"10.02.06" 131.66
"13.02.06" 132.3
"14.02.06" 132.65
"15.02.06" 131.84
"16.02.06" 133.65
"17.02.06" 134.3
"20.02.06" 133.8
"21.02.06" 132.76
"22.02.06" 134.49
"23.02.06" 134.99
"24.02.06" 135.82
"27.02.06" 137.42
"28.02.06" 135.4
"01.03.06" 137.9
"02.03.06" 135.31
"03.03.06" 133.37
"06.03.06" 134.05
"07.03.06" 132.31
"08.03.06" 128.58
"09.03.06" 129.85
"10.03.06" 131.73
"13.03.06" 133.72
"14.03.06" 135.15
"15.03.06" 136.84
"16.03.06" 134.65
"17.03.06" 134.9
"20.03.06" 134.68
"21.03.06" 136.65
"22.03.06" 136.51
"23.03.06" 136.3
"24.03.06" 135.85
"27.03.06" 135.5
"28.03.06" 135.55
"29.03.06" 137.69
"30.03.06" 139.53
"31.03.06" 137.78
"03.04.06" 138.95
"04.04.06" 138.81
"05.04.06" 139.03
"06.04.06" 137.79
"07.04.06" 135.37
"10.04.06" 135.37
"11.04.06" 133.04
"12.04.06" 132.5
"13.04.06" 132.34
"18.04.06" 133.2
"19.04.06" 133.95
"20.04.06" 135.59
"21.04.06" 134.3
"24.04.06" 132.2
"25.04.06" 132.01
"26.04.06" 132.56
"27.04.06" 134.11
"28.04.06" 132.7
"02.05.06" 133.92
"03.05.06" 131.6
"04.05.06" 131.07
"05.05.06" 135.59
"08.05.06" 137.21
"09.05.06" 136.85
"10.05.06" 135.39
"11.05.06" 134.51
"12.05.06" 130.8
"15.05.06" 129.63
"16.05.06" 129.4
"17.05.06" 123.67
"18.05.06" 123.64
"19.05.06" 123.38
"22.05.06" 119.84
"23.05.06" 123.01
"24.05.06" 119.8
"25.05.06" 121.54
"26.05.06" 123.01
"29.05.06" 122
"30.05.06" 118.44
"31.05.06" 121.4
"01.06.06" 119.84
"02.06.06" 120.65
"05.06.06" 120.35
"06.06.06" 117.01
"07.06.06" 117.58
"08.06.06" 113.6
"09.06.06" 116.1
"12.06.06" 114.24
"13.06.06" 111.2
"14.06.06" 111.69
"15.06.06" 116.11
"16.06.06" 115.01
"19.06.06" 118.15
"20.06.06" 119.34
"21.06.06" 119.62
"22.06.06" 121.42
"23.06.06" 120.05
"26.06.06" 119.88
"27.06.06" 118.63
"28.06.06" 118.87
"29.06.06" 122.49
"30.06.06" 123.52
"03.07.06" 124.06
"04.07.06" 124.65
"05.07.06" 121.98
"06.07.06" 123.1
"07.07.06" 122.94
"10.07.06" 122.88
"11.07.06" 121.12
"12.07.06" 121.1
"13.07.06" 118.56
"14.07.06" 115.89
"17.07.06" 115.8
"18.07.06" 115.5
"19.07.06" 119.55
"20.07.06" 120.03
"21.07.06" 119.21
"24.07.06" 121.86
"25.07.06" 121
"26.07.06" 121.58
"27.07.06" 122.79
"28.07.06" 123.55
"31.07.06" 122.98
"01.08.06" 121.34
"02.08.06" 123.28
"03.08.06" 123.4
"04.08.06" 127.93
"07.08.06" 125.8
"08.08.06" 126.35
"09.08.06" 127.78
"10.08.06" 127.16
"11.08.06" 128.6
"14.08.06" 130.09
"15.08.06" 131.16
"16.08.06" 131.25
"17.08.06" 132.2
"18.08.06" 131.76
"21.08.06" 131.24
"22.08.06" 130.1
"23.08.06" 129.5
"24.08.06" 130.8
"25.08.06" 130.7
"28.08.06" 131.45
"29.08.06" 131.32
"30.08.06" 131.85
"31.08.06" 132.37
"01.09.06" 133
"04.09.06" 134.1
"05.09.06" 133.44
"06.09.06" 132.1
"07.09.06" 130.8
"08.09.06" 132
"11.09.06" 133.15
"12.09.06" 134.84
"13.09.06" 134.81
"14.09.06" 134.4
"15.09.06" 135.01
"18.09.06" 134.4
"19.09.06" 132.31
"20.09.06" 134.69
"21.09.06" 135.4
"22.09.06" 134.4
"25.09.06" 135.03
"26.09.06" 137.33
