"Datum" "Schluss"
"02.01.06 00:00" 129.05
"03.01.06 00:00" 130.2
"04.01.06 00:00" 133.35
"05.01.06 00:00" 133.8
"06.01.06 00:00" 135.59
"09.01.06 00:00" 134.9
"10.01.06 00:00" 132.54
"11.01.06 00:00" 133.48
"12.01.06 00:00" 132.6
"13.01.06 00:00" 129.67
"16.01.06 00:00" 130.55
"17.01.06 00:00" 128.75
"18.01.06 00:00" 125.54
"19.01.06 00:00" 127.17
"20.01.06 00:00" 125.3
"23.01.06 00:00" 125.58
"24.01.06 00:00" 124.1
"25.01.06 00:00" 127.33
"26.01.06 00:00" 130.42
"27.01.06 00:00" 132.75
"30.01.06 00:00" 132.8
"31.01.06 00:00" 132.65
"01.02.06 00:00" 131.05
"02.02.06 00:00" 128.3
"03.02.06 00:00" 129.18
"06.02.06 00:00" 130.2
"07.02.06 00:00" 130.89
"08.02.06 00:00" 130.86
"09.02.06 00:00" 132.38
"10.02.06 00:00" 131.66
"13.02.06 00:00" 132.3
"14.02.06 00:00" 132.65
"15.02.06 00:00" 131.84
"16.02.06 00:00" 133.65
"17.02.06 00:00" 134.3
"20.02.06 00:00" 133.8
"21.02.06 00:00" 132.76
"22.02.06 00:00" 134.49
"23.02.06 00:00" 134.99
"24.02.06 00:00" 135.82
"27.02.06 00:00" 137.42
"28.02.06 00:00" 135.4
"01.03.06 00:00" 137.9
"02.03.06 00:00" 135.31
"03.03.06 00:00" 133.37
"06.03.06 00:00" 134.05
"07.03.06 00:00" 132.31
"08.03.06 00:00" 128.58
"09.03.06 00:00" 129.85
"10.03.06 00:00" 131.73
"13.03.06 00:00" 133.72
"14.03.06 00:00" 135.15
"15.03.06 00:00" 136.84
"16.03.06 00:00" 134.65
"17.03.06 00:00" 134.9
"20.03.06 00:00" 134.68
"21.03.06 00:00" 136.65
"22.03.06 00:00" 136.51
"23.03.06 00:00" 136.3
"24.03.06 00:00" 135.85
"27.03.06 00:00" 135.5
"28.03.06 00:00" 135.55
"29.03.06 00:00" 137.69
"30.03.06 00:00" 139.53
"31.03.06 00:00" 137.78
"03.04.06 00:00" 138.95
"04.04.06 00:00" 138.81
"05.04.06 00:00" 139.03
"06.04.06 00:00" 137.79
"07.04.06 00:00" 135.37
"10.04.06 00:00" 135.37
"11.04.06 00:00" 133.04
"12.04.06 00:00" 132.5
"13.04.06 00:00" 132.34
"18.04.06 00:00" 133.2
"19.04.06 00:00" 133.95
"20.04.06 00:00" 135.59
"21.04.06 00:00" 134.3
"24.04.06 00:00" 132.2
"25.04.06 00:00" 132.01
"26.04.06 00:00" 132.56
"27.04.06 00:00" 134.11
"28.04.06 00:00" 132.7
"02.05.06 00:00" 133.92
"03.05.06 00:00" 131.6
"04.05.06 00:00" 131.07
"05.05.06 00:00" 135.59
"08.05.06 00:00" 137.21
"09.05.06 00:00" 136.85
"10.05.06 00:00" 135.39
"11.05.06 00:00" 134.51
"12.05.06 00:00" 130.8
"15.05.06 00:00" 129.63
"16.05.06 00:00" 129.4
"17.05.06 00:00" 123.67
"18.05.06 00:00" 123.64
"19.05.06 17:35" 123.38
"22.05.06 17:35" 119.84
"23.05.06 17:35" 123.01
"24.05.06 17:35" 119.8
"25.05.06 17:35" 121.54
"26.05.06 17:35" 123.01
"29.05.06 17:35" 122
"30.05.06 17:35" 118.44
"31.05.06 17:35" 121.4
"01.06.06 17:35" 119.84
"02.06.06 17:35" 120.65
"05.06.06 17:35" 120.35
"06.06.06 17:35" 117.01
"07.06.06 17:35" 117.58
"08.06.06 17:35" 113.6
"09.06.06 17:35" 116.1
"12.06.06 17:35" 114.24
"13.06.06 17:35" 111.2
"14.06.06 17:35" 111.69
"15.06.06 17:35" 116.11
"16.06.06 17:36" 115.01
"19.06.06 17:35" 118.15
"20.06.06 17:35" 119.34
"21.06.06 17:35" 119.62
"22.06.06 17:35" 121.42
"23.06.06 17:35" 120.05
"26.06.06 17:35" 119.88
"27.06.06 17:35" 118.63
"28.06.06 17:35" 118.87
"29.06.06 17:35" 122.49
"30.06.06 17:35" 123.52
"03.07.06 17:35" 124.06
"04.07.06 17:35" 124.65
"05.07.06 17:35" 121.98
"06.07.06 17:35" 123.1
"07.07.06 17:35" 122.94
"10.07.06 17:35" 122.88
"11.07.06 17:35" 121.12
"12.07.06 17:35" 121.1
"13.07.06 17:30" 118.56
"14.07.06 17:35" 115.89
"17.07.06 17:35" 115.8
"18.07.06 17:35" 115.5
"19.07.06 17:35" 119.55
"20.07.06 17:35" 120.03
"21.07.06 17:35" 119.21
"24.07.06 17:28" 121.86
"25.07.06 17:35" 121
"26.07.06 17:35" 121.58
"27.07.06 17:35" 122.79
"28.07.06 17:35" 123.55
"31.07.06 17:35" 122.98
"01.08.06 17:30" 121.34
"02.08.06 17:35" 123.28
"03.08.06 17:35" 123.4
"04.08.06 17:35" 127.93
"07.08.06 17:35" 125.8
"08.08.06 17:29" 126.35
"09.08.06 17:35" 127.78
"10.08.06 17:36" 127.16
"11.08.06 17:35" 128.6
"14.08.06 17:35" 130.09
"15.08.06 17:35" 131.16
"16.08.06 17:35" 131.25
"17.08.06 17:35" 132.2
"18.08.06 17:35" 131.76
"21.08.06 17:35" 131.24
"22.08.06 17:35" 130.1
"23.08.06 17:35" 129.5
"24.08.06 17:35" 130.8
"25.08.06 17:35" 130.7
"28.08.06 17:35" 131.45
"29.08.06 17:35" 131.32
"30.08.06 17:35" 131.85
"31.08.06 17:35" 132.37
"01.09.06 17:30" 133
"04.09.06 17:35" 134.1
"05.09.06 17:35" 133.44
"06.09.06 17:35" 132.1
"07.09.06 17:15" 130.8
"08.09.06 17:35" 132
"11.09.06 17:35" 133.15
"12.09.06 17:35" 134.84
"13.09.06 17:35" 134.81
"14.09.06 17:35" 134.4
"15.09.06 17:35" 135.01
"18.09.06 17:35" 134.4
"19.09.06 17:35" 132.31
"20.09.06 17:35" 134.69
"21.09.06 17:35" 135.4
"22.09.06 17:35" 134.4
"25.09.06 17:35" 135.03
"26.09.06 17:35" 137.33
"27.09.06 17:35" 137.4
"28.09.06 17:35" 136.55
"29.09.06 17:35" 136.48
"02.10.06 17:35" 136.19
"03.10.06 17:35" 136.14
"04.10.06 17:35" 138.65
"05.10.06 17:35" 140.5
"06.10.06 17:35" 140.45
"09.10.06 17:35" 140.5
"10.10.06 17:35" 143.32
"11.10.06 17:35" 143
"12.10.06 17:35" 144.12
"13.10.06 17:35" 145.41
"16.10.06 17:35" 145.51
"17.10.06 17:35" 142.12
"18.10.06 17:35" 143.62
"19.10.06 17:35" 142.69
"20.10.06 17:35" 144.34
"23.10.06 17:35" 145.32
"24.10.06 17:35" 145.3
"25.10.06 17:35" 144.69
"26.10.06 17:35" 145.65
"27.10.06 17:35" 144.89
"30.10.06 17:30" 145.1
"31.10.06 17:35" 145.42
"01.11.06 17:36" 146.35
"02.11.06 17:36" 145
"03.11.06 17:30" 143.93
"06.11.06 17:35" 147.9
"07.11.06 17:36" 149.88
"08.11.06 17:35" 151.2
"09.11.06 17:35" 152.65
"10.11.06 17:35" 151.5
"13.11.06 17:36" 152.3
"14.11.06 17:35" 151.7
"15.11.06 17:35" 151.81
"16.11.06 17:36" 150.57
"17.11.06 17:35" 149.99
"20.11.06 17:35" 151.7
"21.11.06 17:35" 151.55
"22.11.06 17:35" 152.33
"23.11.06 17:35" 152.25
"24.11.06 17:35" 149.05
"27.11.06 17:35" 144.7
"28.11.06 17:35" 146.1
"29.11.06 17:35" 148.3
"30.11.06 17:35" 146.95
"01.12.06 17:35" 145.19
"04.12.06 17:35" 146
"05.12.06 17:35" 148.35
"06.12.06 17:35" 148.6
"07.12.06 17:35" 149.61
"08.12.06 17:30" 148.59
"11.12.06 17:35" 148.72
"12.12.06 17:35" 149.02
"13.12.06 17:35" 150.63
"14.12.06 17:35" 152.49
"15.12.06 17:36" 153.53
"18.12.06 17:36" 156.33
"19.12.06 17:36" 155.07
"20.12.06 17:35" 156.75
"21.12.06 17:30" 155.9
"22.12.06 17:30" 154.72
"27.12.06 17:35" 156.1
"28.12.06 17:35" 155.85
"29.12.06 14:06" 154.76
"02.01.07 17:35" 156.5
"03.01.07 17:35" 157.52
"04.01.07 17:35" 159.45
"05.01.07 17:35" 157.2
"08.01.07 17:35" 157.44
"09.01.07 17:35" 155.6
"10.01.07 17:35" 152.39
"11.01.07 17:30" 155.56
"12.01.07 17:30" 156.29
